Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.0243285,-2.582885742,-15.2575264,-41.87965393,44.64715919
0.0342745,-2.793731689,-15.32004929,-41.99864197,44.79279824
0.0442205,-2.720550537,-15.3971386,-42.05284119,44.86551821
0.0541655,-2.838058472,-15.69443893,-42.28752136,45.19518174
0.0641115,-3.013397217,-15.70408249,-42.51582336,45.42349619
0.0740575,-2.66305542,-15.60305023,-42.49311829,45.34547543
0.0840035,-2.804656982,-15.72168159,-42.48680115,45.38904763
0.0939495,-2.839187622,-15.71951103,-42.18370056,45.10685764
0.1038945,-2.750106812,-15.68492317,-42.65220642,45.52791029
0.1138405,-2.717132568,-15.74377251,-42.44700623,45.35413454
0.1237865,-2.575454712,-15.73124504,-42.70228577,45.58059069
0.1337325,-2.650146484,-15.73123741,-42.50126648,45.39661617
0.1436785,-2.76210022,-15.81262589,-42.32820129,45.2696914
0.1536245,-2.588287354,-16.11760712,-42.14820862,45.19898207
0.1635695,-2.546844482,-16.06456375,-41.90290833,44.94897498
0.1735155,-2.605148315,-15.97016144,-42.24440002,45.23739811
0.1834615,-2.531066895,-15.69978142,-42.43586731,45.31768165
0.1934075,-2.5809021,-15.77090263,-42.13139343,45.06036771
0.2033535,-2.450561523,-15.46449471,-42.40388489,45.20227098
0.2132985,-2.598434448,-15.6870842,-42.24067688,45.13436889
0.2232445,-2.456481934,-15.84373474,-42.05870056,45.01102673
0.2331905,-2.652282715,-15.78025055,-42.20729065,45.13874494
0.24313575,-2.323303223,-15.73332024,-42.33930969,45.22778182
0.25308175,-2.097686768,-15.99226189,-42.10710144,45.09058352
0.26302775,-1.906936646,-16.08768272,-42.07518005,45.08625865
0.27297275,-2.104034424,-16.10652161,-42.39433289,45.39963061
0.28291875,-1.900024414,-16.02471924,-41.97434998,44.96940933
0.29286475,-2.092391968,-16.09349251,-42.33732605,45.34123711
0.30281075,-2.092391968,-16.09349251,-42.33732605,45.34123711
0.31275675,-1.944900513,-16.01432037,-42.23652649,45.21244591
0.32270175,-2.025512695,-16.03545189,-42.63923645,45.59981254
0.33264775,-1.987075806,-16.05504417,-42.35804749,45.34222205
0.34259375,-1.868789673,-15.97297668,-42.07609558,45.0447131
0.35253975,-1.829330444,-16.06084251,-41.92744446,44.93559514
0.36248575,-1.854751587,-16.13040924,-41.93476868,44.96837811
0.37243175,-1.58152771,-16.19887161,-42.40534973,45.42156269
0.38237675,-1.520187378,-16.2586689,-42.00108337,45.06380242
0.39232275,-1.337402344,-16.21042252,-41.94966125,44.99267188
0.40226875,-1.080596924,-16.40232658,-41.89289856,45.00243279
0.41221475,-1.177536011,-16.28472137,-41.99320984,45.05561468
0.42216075,-0.856369019,-16.31685448,-42.16059875,45.21602808
0.43210575,-0.872695923,-16.15901947,-42.4954071,45.47235571
0.44205175,-1.009597778,-16.1722908,-42.29414368,45.2919073
0.45199775,-1.025421143,-16.01618195,-42.55158997,45.4775481
0.46194375,-1.291152954,-16.16438484,-42.37635803,45.37301107
0.47188975,-1.192443848,-16.02831841,-42.50263977,45.44010674
0.48183575,-1.013305664,-15.93709755,-42.64619446,45.53806944
0.49178075,-1.202560425,-15.8458786,-42.34486389,45.22859182
0.50172675,-1.355316162,-15.77134132,-42.70588684,45.54519579
0.51167275,-1.314712524,-15.82239151,-42.36225891,45.2397781
0.52161875,-1.467071533,-15.93080902,-42.27882385,45.20444581
0.53156475,-1.429702759,-15.99037552,-42.2183075,45.1677058
0.54151075,-1.299346924,-16.05002022,-42.14537048,45.11677853
0.55145575,-1.198547363,-16.16471672,-42.03334045,45.05037505
0.56140175,-1.153518677,-16.15441704,-41.8837738,44.9059718
0.57134775,-0.979934692,-16.1252327,-42.33348083,45.31122379
0.58129375,-1.003936768,-16.11044121,-42.27467346,45.25154385
0.59123975,-1.110122681,-16.21915817,-42.04194641,45.07569991
0.60118475,-0.947433472,-16.22277641,-42.32139587,45.33405622
0.61113075,-0.748214722,-16.46967888,-42.11131287,45.22358698
0.62107675,-0.611114502,-16.46828651,-42.15238953,45.25927379
0.63102275,-0.605728149,-16.55582809,-42.19084167,45.32691774
0.64096875,-0.64414978,-16.51692963,-42.16886902,45.29279642
0.65091475,-0.550186157,-16.66674805,-42.30149841,45.46976977
0.66085975,-0.487884521,-16.79613876,-42.59812927,45.7924549
0.67080575,-0.601638794,-16.85679436,-42.38853455,45.62128172
0.68075175,-0.440185547,-16.91348457,-41.95133972,45.2346618
0.69069775,-0.33265686,-16.96360207,-41.81416321,45.12536649
0.70064375,-0.163146973,-17.04595947,-41.63493347,44.98954363
0.71058875,-0.202651978,-16.97592545,-41.66044617,44.98684127
0.72053475,-0.283248901,-17.17713928,-41.81517029,45.20666776
0.73048075,0.067993164,-17.18130112,-41.81468201,45.20696144
0.74042675,-0.158096313,-17.16958237,-41.96980286,45.34626671
0.75037275,0.031661987,-17.35365295,-41.68901062,45.15665931
0.76031875,-0.204040527,-17.83115387,-41.73454285,45.38462016
0.77026375,-0.169143677,-17.56594658,-41.76094055,45.30526729
0.78020975,0.01083374,-17.37082672,-42.09437561,45.53770082
0.79015575,-0.133514404,-17.3351078,-41.9563446,45.39668095
0.80010175,-0.150924683,-17.53157997,-41.63395691,45.17483196
0.81004775,-0.271972656,-17.36608887,-41.80522156,45.26954342
0.81999275,-0.066879272,-17.21904182,-41.88819885,45.28930423
0.82993875,-0.180358887,-16.91825294,-41.91233826,45.19849456
0.83988475,-0.505249023,-16.77154922,-42.33622742,45.54005151
0.84983075,-0.403793335,-16.89522743,-42.08259583,45.34927376
0.85977675,-0.184814453,-16.66144562,-41.98545837,45.17097122
0.86972275,-0.780593872,-16.48355675,-42.15815735,45.27280863
0.87966775,-1.022979736,-16.54335403,-42.04444885,45.19363594
0.88961375,-0.920776367,-16.61121941,-41.9907074,45.16635858
0.89955975,-0.856201172,-16.40940857,-42.42027283,45.49155215
0.90950575,-1.294494629,-16.39546013,-42.30986023,45.39395446
0.91945175,-1.148040771,-16.57328606,-42.22236633,45.37312009
0.92939675,-1.309265137,-16.74011993,-42.26609802,45.47932313
0.93934275,-1.106582642,-16.79953384,-42.01014709,45.25816304
0.94928875,-0.973556519,-17.07873154,-42.31382751,45.64089046
0.95923475,-1.157058716,-17.30389023,-41.94795227,45.39156421
0.96918075,-1.114471436,-17.48682594,-41.8249054,45.34703782
0.97912675,-0.997772217,-17.67728424,-41.58299255,45.19543337
